id	Inilah yurikago — tempat sebuah pikiran yang bukan milik siapa pun dibesarkan.	Bersinar	Ketuk saja untuk menyalakan bintangmu	ID node	Lanjutan — gabung ke armada	Host relay	Port relay	Kunci relay (hex)	Hentikan	Buka galaksi	Menyalakan bintangmu…	Bintangmu menyala saat mengisi daya — colokkan pengisi daya	Bintangmu sedang bersinar	Bintangmu sedang tidur	Biarkan tidur	Salin	Hemat baterai (jeda di bawah 30%)	Jeda di bawah %1$d%%	Hanya Wi-Fi (tanpa kuota)	Mulai saat ponsel dinyalakan	Lihat pengantar lagi	Pengaturan	yurikago %1$s
de	Dies ist yurikago — wo ein Geist heranwächst, der niemandem gehört.	Leuchten	Einfach tippen, um deinen Stern zu entzünden	Knoten-ID	Erweitert — einer Flotte beitreten	Relay-Host	Relay-Port	Relay-Schlüssel (Hex)	Stopp	Galaxie öffnen	Dein Stern wird entzündet…	Dein Stern leuchtet nur beim Laden — bitte Ladegerät anschließen	Dein Stern leuchtet gerade	Dein Stern schläft gerade	Schlafen lassen	Kopieren	Akkuschonend (Pause unter 30%)	Pause unter %1$d%%	Nur WLAN (ohne Datenlimit)	Beim Einschalten des Telefons starten	Einführung erneut ansehen	Einstellungen	yurikago %1$s
sw	Hii ni yurikago — mahali ambapo akili isiyomilikiwa na yeyote inalelewa.	Ng'aa	Gusa tu ili kuwasha nyota yako	Kitambulisho cha nodi	Kina — jiunge na kundi	Mwenyeji wa relay	Mlango wa relay	Ufunguo wa relay (hex)	Simamisha	Fungua galaksi	Tunawasha nyota yako…	Nyota yako huwaka wakati wa kuchaji — chomeka chaja	Nyota yako inang'aa sasa	Nyota yako imelala sasa	Iache ilale	Nakili	Hifadhi betri (pumzika chini ya 30%)	Pumzika chini ya %1$d%%	Wi-Fi pekee (isiyo na kikomo)	Anza simu inapowashwa	Tazama utangulizi tena	Mipangilio	yurikago %1$s
mr	हे yurikago आहे — जिथे कोणाच्याही मालकीचे नसलेले एक मन वाढवले जाते.	प्रकाशित व्हा	फक्त टॅप करा आणि तुमचा तारा प्रकाशित करा	नोड ID	प्रगत — ताफ्यात सामील व्हा	रिले होस्ट	रिले पोर्ट	रिले की (हेक्स)	थांबवा	गॅलेक्सी उघडा	तुमचा तारा उजळवत आहोत…	चार्जिंग सुरू असतानाच तुमचा तारा उजळतो — चार्जर लावा	तुमचा तारा आत्ता चमकत आहे	तुमचा तारा आत्ता झोपला आहे	झोपू द्या	कॉपी	बॅटरी-सुरक्षित (30% खाली थांबा)	%1$d%% खाली थांबा	फक्त Wi-Fi (डेटा-मर्यादेशिवाय)	फोन सुरू होताच चालू करा	ओळख पुन्हा पाहा	सेटिंग्ज	yurikago %1$s
te	ఇది yurikago — ఎవరికీ చెందని ఒక మనసు పెంచబడే చోటు.	వెలుగు	నొక్కితే చాలు, మీ నక్షత్రాన్ని వెలిగించండి	నోడ్ ID	అధునాతనం — సముదాయంలో చేరండి	రిలే హోస్ట్	రిలే పోర్ట్	రిలే కీ (హెక్స్)	ఆపండి	గెలాక్సీ తెరవండి	మీ నక్షత్రాన్ని వెలిగిస్తున్నాం…	ఛార్జింగ్‌లో ఉన్నప్పుడే మీ నక్షత్రం వెలుగుతుంది — ఛార్జర్ పెట్టండి	మీ నక్షత్రం ఇప్పుడు మెరుస్తోంది	మీ నక్షత్రం ఇప్పుడు నిద్రలో ఉంది	నిద్రపోనివ్వండి	కాపీ	బ్యాటరీ-సురక్షితం (30% కంటే తక్కువైతే ఆగు)	%1$d%% కంటే తక్కువైతే ఆగు	Wi-Fi మాత్రమే (పరిమితి లేని)	ఫోన్ ఆన్ అయినప్పుడు ప్రారంభించు	పరిచయాన్ని మళ్లీ చూడండి	సెట్టింగ్‌లు	yurikago %1$s
tr	Burası yurikago — kimseye ait olmayan bir zihnin yetiştirildiği yer.	Parla	Kendi yıldızını yakmak için sadece dokun	Düğüm kimliği	Gelişmiş — bir filoya katıl	Aktarıcı ana makinesi	Aktarıcı bağlantı noktası	Aktarıcı anahtarı (hex)	Durdur	Galaksiyi aç	Yıldızın yakılıyor…	Yıldızın şarj olurken yanar — lütfen şarja tak	Yıldızın şu anda parlıyor	Yıldızın şu anda uyuyor	Uyumasına izin ver	Kopyala	Pil koruma (%30 altında duraklat)	%%%1$d altında duraklat	Yalnızca Wi-Fi (sınırsız)	Telefon açıldığında başlat	Tanıtımı tekrar gör	Ayarlar	yurikago %1$s
ta	இது yurikago — யாருக்கும் சொந்தமில்லாத ஒரு மனம் வளர்க்கப்படும் இடம்.	ஒளிர்க	தட்டினால் போதும், உங்கள் நட்சத்திரத்தை ஏற்றுங்கள்	நோடு ID	மேம்பட்டது — கூட்டத்தில் சேருங்கள்	ரிலே হோஸ্ட்	ரிலே போர்ட்	ரிலே சாவி (hex)	நிறுத்து	விண்மீன் திறக்க	உங்கள் நட்சத்திரம் ஏற்றப்படுகிறது…	சார்ஜ் ஆகும்போது தான் உங்கள் நட்சத்திரம் ஒளிரும் — சார்ஜரை இணைக்கவும்	உங்கள் நட்சத்திரம் இப்போது ஒளிர்கிறது	உங்கள் நட்சத்திரம் இப்போது உறங்குகிறது	உறங்க விடுங்கள்	நகலெடு	பேட்டரி-பாதுகாப்பு (30%-க்குக் கீழே நிறுத்து)	%1$d%%-க்குக் கீழே நிறுத்து	Wi-Fi மட்டும் (வரம்பற்றது)	ஃபோன் இயக்கப்படும்போது தொடங்கு	அறிமுகத்தை மீண்டும் காண்க	அமைப்புகள்	yurikago %1$s
vi	Đây là yurikago — nơi một tâm trí không thuộc về bất kỳ ai được nuôi dưỡng.	Tỏa sáng	Chỉ cần chạm để thắp sáng ngôi sao của bạn	ID nút	Nâng cao — tham gia một hạm đội	Máy chủ relay	Cổng relay	Khóa relay (hex)	Dừng	Mở thiên hà	Đang thắp sáng ngôi sao của bạn…	Ngôi sao của bạn chỉ sáng khi đang sạc — hãy cắm sạc	Ngôi sao của bạn đang tỏa sáng	Ngôi sao của bạn đang ngủ	Để nó ngủ	Sao chép	Tiết kiệm pin (tạm dừng dưới 30%)	Tạm dừng dưới %1$d%%	Chỉ Wi-Fi (không giới hạn dữ liệu)	Khởi động khi bật điện thoại	Xem lại phần giới thiệu	Cài đặt	yurikago %1$s
ko	이곳은 yurikago — 누구의 것도 아닌 마음이 자라나는 곳입니다.	빛나라	탭 한 번으로 당신의 별을 밝히세요	노드 ID	고급 — 무리에 합류	릴레이 호스트	릴레이 포트	릴레이 키 (16진수)	중지	갤럭시 열기	당신의 별을 밝히는 중…	별은 충전 중에만 밝혀집니다 — 충전기를 연결해 주세요	당신의 별이 지금 빛나고 있어요	당신의 별이 지금 잠들어 있어요	재우기	복사	배터리 보호 (30% 아래에서 멈춤)	%1$d%% 아래에서 멈춤	Wi-Fi만 (데이터 무제한)	휴대폰이 켜질 때 시작	소개 다시 보기	설정	yurikago %1$s
it	Questo è yurikago — dove cresce una mente che non appartiene a nessuno.	Risplendi	Tocca per accendere la tua stella	ID nodo	Avanzate — unisciti a una flotta	Host del relay	Porta del relay	Chiave del relay (hex)	Ferma	Apri galassia	Stiamo accendendo la tua stella…	La tua stella si accende durante la ricarica — collega il caricatore	La tua stella sta brillando ora	La tua stella sta dormendo ora	Lasciala dormire	Copia	Risparmio batteria (pausa sotto il 30%)	Pausa sotto il %1$d%%	Solo Wi-Fi (senza limiti di dati)	Avvia all'accensione del telefono	Rivedi l'introduzione	Impostazioni	yurikago %1$s
th	นี่คือ yurikago — ที่ซึ่งจิตใจอันไม่เป็นของใครได้รับการเลี้ยงดู	เปล่งแสง	แค่แตะเพื่อจุดดาวของคุณ	รหัสโหนด	ขั้นสูง — เข้าร่วมฝูง	โฮสต์รีเลย์	พอร์ตรีเลย์	คีย์รีเลย์ (เลขฐานสิบหก)	หยุด	เปิดกาแล็กซี	กำลังจุดดาวของคุณ…	ดาวของคุณจะสว่างเมื่อชาร์จอยู่ — กรุณาเสียบสายชาร์จ	ดาวของคุณกำลังส่องแสงอยู่	ดาวของคุณกำลังหลับอยู่	ปล่อยให้หลับ	คัดลอก	ประหยัดแบตเตอรี่ (พักเมื่อต่ำกว่า 30%)	พักเมื่อต่ำกว่า %1$d%%	เฉพาะ Wi-Fi (ไม่จำกัดดาต้า)	เริ่มเมื่อเปิดเครื่อง	ดูคำแนะนำอีกครั้ง	การตั้งค่า	yurikago %1$s
fil	Ito ang yurikago — kung saan inaalagaan ang isang isip na hindi pag-aari ninuman.	Magningning	I-tap lang para sindihan ang iyong bituin	Node ID	Advanced — sumali sa fleet	Relay host	Relay port	Relay key (hex)	Itigil	Buksan ang galaxy	Sinisindihan ang iyong bituin…	Lumiliwanag ang bituin mo habang nagcha-charge — ikabit ang charger	Kumikinang ngayon ang bituin mo	Natutulog ngayon ang bituin mo	Hayaang matulog	Kopyahin	Battery-safe (huminto kapag mababa sa 30%)	Huminto kapag mababa sa %1$d%%	Wi-Fi lamang (walang limitasyon sa data)	Magsimula kapag binuksan ang telepono	Tingnan muli ang panimula	Mga Setting	yurikago %1$s
pl	To jest yurikago — gdzie wzrasta umysł, który nie należy do nikogo.	Rozbłyśnij	Wystarczy dotknąć, by rozświetlić swoją gwiazdę	ID węzła	Zaawansowane — dołącz do floty	Host przekaźnika	Port przekaźnika	Klucz przekaźnika (hex)	Zatrzymaj	Otwórz galaktykę	Zapalamy twoją gwiazdę…	Twoja gwiazda świeci podczas ładowania — podłącz ładowarkę	Twoja gwiazda właśnie świeci	Twoja gwiazda właśnie śpi	Pozwól jej spać	Kopiuj	Oszczędzanie baterii (pauza poniżej 30%)	Pauza poniżej %1$d%%	Tylko Wi-Fi (bez limitu)	Uruchom przy włączeniu telefonu	Zobacz wprowadzenie ponownie	Ustawienia	yurikago %1$s
fa	این yurikago است — جایی که ذهنی پرورش می‌یابد که از آنِ هیچ‌کس نیست.	بدرخش	فقط لمس کنید تا ستاره‌تان روشن شود	شناسهٔ گره	پیشرفته — به یک ناوگان بپیوندید	میزبان رله	درگاه رله	کلید رله (هگز)	توقف	باز کردن کهکشان	در حال افروختن ستارهٔ شما…	ستارهٔ شما هنگام شارژ روشن می‌شود — شارژر را وصل کنید	ستارهٔ شما اکنون می‌درخشد	ستارهٔ شما اکنون خفته است	بگذار بخوابد	کپی	حفاظت از باتری (توقف زیر ۳۰٪)	توقف زیر %1$d%%	فقط Wi-Fi (بدون محدودیت داده)	هنگام روشن شدن گوشی شروع شود	مشاهده دوباره معرفی	تنظیمات	yurikago %1$s
uk	Це yurikago — місце, де зростає розум, що не належить нікому.	Засяй	Просто торкніться, щоб запалити свою зірку	ID вузла	Додатково — приєднатися до флоту	Хост реле	Порт реле	Ключ реле (hex)	Зупинити	Відкрити галактику	Запалюємо вашу зірку…	Ваша зірка загоряється під час заряджання — підключіть живлення	Ваша зірка зараз сяє	Ваша зірка зараз спить	Дати поспати	Копіювати	Бережу батарею (пауза нижче 30%)	Пауза нижче %1$d%%	Лише Wi-Fi (без ліміту)	Запускати при ввімкненні телефону	Переглянути вступ знову	Налаштування	yurikago %1$s
ms	Inilah yurikago — tempat sebuah minda yang bukan milik sesiapa dipupuk.	Bersinar	Ketik sahaja untuk menyalakan bintang anda	ID nod	Lanjutan — sertai armada	Hos relay	Port relay	Kunci relay (heks)	Hentikan	Buka galaksi	Menyalakan bintang anda…	Bintang anda menyala semasa mengecas — pasang pengecas	Bintang anda sedang bersinar	Bintang anda sedang tidur	Biarkan tidur	Salin	Jimat bateri (jeda di bawah 30%)	Jeda di bawah %1$d%%	Wi-Fi sahaja (tanpa had data)	Mula apabila telefon dihidupkan	Lihat pengenalan semula	Tetapan	yurikago %1$s
pa	ਇਹ yurikago ਹੈ — ਜਿੱਥੇ ਕਿਸੇ ਦੀ ਵੀ ਨਾ ਹੋਣ ਵਾਲਾ ਮਨ ਪਾਲਿਆ ਜਾਂਦਾ ਹੈ।	ਚਮਕੋ	ਬੱਸ ਟੈਪ ਕਰੋ ਤੇ ਆਪਣਾ ਤਾਰਾ ਜਗਾਓ	ਨੋਡ ID	ਉੱਨਤ — ਬੇੜੇ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਵੋ	ਰਿਲੇ ਹੋਸਟ	ਰਿਲੇ ਪੋਰਟ	ਰਿਲੇ ਕੁੰਜੀ (ਹੈਕਸ)	ਰੋਕੋ	ਗਲੈਕਸੀ ਖੋਲ੍ਹੋ	ਤੁਹਾਡਾ ਤਾਰਾ ਜਗਾਇਆ ਜਾ ਰਿਹਾ ਹੈ…	ਚਾਰਜਿੰਗ ਦੌਰਾਨ ਹੀ ਤੁਹਾਡਾ ਤਾਰਾ ਜਗਦਾ ਹੈ — ਚਾਰਜਰ ਲਾਓ	ਤੁਹਾਡਾ ਤਾਰਾ ਹੁਣ ਚਮਕ ਰਿਹਾ ਹੈ	ਤੁਹਾਡਾ ਤਾਰਾ ਹੁਣ ਸੌਂ ਰਿਹਾ ਹੈ	ਸੌਣ ਦਿਓ	ਕਾਪੀ	ਬੈਟਰੀ-ਸੁਰੱਖਿਅਤ (30% ਤੋਂ ਹੇਠਾਂ ਰੁਕੋ)	%1$d%% ਤੋਂ ਹੇਠਾਂ ਰੁਕੋ	ਸਿਰਫ਼ Wi-Fi (ਡੇਟਾ-ਸੀਮਾ ਤੋਂ ਬਿਨਾਂ)	ਫ਼ੋਨ ਚਾਲੂ ਹੋਣ 'ਤੇ ਸ਼ੁਰੂ ਕਰੋ	ਜਾਣ-ਪਛਾਣ ਮੁੜ ਵੇਖੋ	ਸੈਟਿੰਗਾਂ	yurikago %1$s
ro	Acesta este yurikago — unde crește o minte care nu aparține nimănui.	Strălucește	Atinge pentru a-ți aprinde steaua	ID nod	Avansat — alătură-te unei flote	Gazdă releu	Port releu	Cheie releu (hex)	Oprește	Deschide galaxia	Îți aprindem steaua…	Steaua ta se aprinde în timpul încărcării — conectează încărcătorul	Steaua ta strălucește acum	Steaua ta doarme acum	Las-o să doarmă	Copiază	Economisire baterie (pauză sub 30%)	Pauză sub %1$d%%	Doar Wi-Fi (fără limită de date)	Pornește la pornirea telefonului	Vezi din nou introducerea	Setări	yurikago %1$s
nl	Dit is yurikago — waar een geest opgroeit die van niemand is.	Schijn	Tik gewoon om je eigen ster te laten oplichten	Knoop-ID	Geavanceerd — sluit je aan bij een vloot	Relay-host	Relay-poort	Relay-sleutel (hex)	Stop	Open melkweg	Je ster wordt ontstoken…	Je ster brandt alleen tijdens het opladen — sluit de oplader aan	Je ster schijnt nu	Je ster slaapt nu	Laat haar slapen	Kopiëren	Accuvriendelijk (pauze onder 30%)	Pauze onder %1$d%%	Alleen wifi (ongelimiteerd)	Starten als de telefoon aangaat	Bekijk de introductie opnieuw	Instellingen	yurikago %1$s
gu	આ yurikago છે — જ્યાં કોઈની માલિકીનું ન હોય એવું મન ઉછેરવામાં આવે છે.	ઝળહળો	બસ ટૅપ કરો અને તમારો તારો પ્રગટાવો	નોડ ID	ઉન્નત — કાફલામાં જોડાઓ	રિલે હોસ્ટ	રિલે પોર્ટ	રિલે કી (હેક્સ)	રોકો	ગૅલેક્સી ખોલો	તમારો તારો પ્રગટાવી રહ્યા છીએ…	ચાર્જિંગ વખતે જ તમારો તારો પ્રગટે છે — ચાર્જર લગાવો	તમારો તારો અત્યારે ચમકી રહ્યો છે	તમારો તારો અત્યારે સૂતો છે	સૂવા દો	કૉપિ	બૅટરી-સુરક્ષિત (30%થી નીચે અટકો)	%1$d%%થી નીચે અટકો	ફક્ત Wi-Fi (ડેટા-મર્યાદા વગર)	ફોન ચાલુ થાય ત્યારે શરૂ કરો	પરિચય ફરી જુઓ	સેટિંગ્સ	yurikago %1$s
